contestant,series,round,episode,tech_rank_scaled,sig_sum,showstopper_sum,tech_rank,n_remaining,series_winner,eliminated_round,baker_id,signature_bake,signature_flavor,signature_looks,first_half_review,showstopper_bake,showstopper_flavor,showstopper_looks,second_half_review,star_baker,eliminated,sig_ss_sum,season,gender,age,occupation,hometown
Ruby,6,8,6.8,0,3,2,3,5,0,10,6.Ruby,1,1,1,1,1,0,1,1,1,0,5,9,F,29,Project manager,London
Briony,6,9,6.9,-0.9999999999999998,1,-2,3,4,0,9,6.Briony,1,0,0,-1,-1,0,-1,-1,0,1,-1,9,F,33,Stay at home parent,Bristol
Kim-Joy,6,9,6.9,1,0,0,2,4,0,10,6.Kim-Joy,-1,0,1,1,0,1,-1,1,0,0,0,9,F,27,Mental health specialist,Leeds
Rahul,6,9,6.9,-3,3,0,4,4,1,10,6.Rahul,1,1,1,NA,0,1,-1,-1,0,0,3,9,M,30,Research scientist,Rotherham
Ruby,6,9,6.9,3,-1,2,1,4,0,10,6.Ruby,-1,1,-1,NA,1,1,0,1,1,0,1,9,F,29,Project manager,London
Kim-Joy,6,10,6.10,0,2,1,2,3,0,10,6.Kim-Joy,1,1,0,NA,1,0,0,NA,0,1,3,9,F,27,Mental health specialist,Leeds
Rahul,6,10,6.10,3,0,2,1,3,1,10,6.Rahul,-1,0,1,NA,1,1,0,NA,1,0,2,9,M,30,Research scientist,Rotherham
Ruby,6,10,6.10,-3,0,1,3,3,0,10,6.Ruby,1,-1,0,NA,1,1,-1,NA,0,1,1,9,F,29,Project manager,London
Alice,7,1,7.1,1,1,3,5,13,0,10,7.Alice,0,0,1,NA,1,1,1,NA,0,0,4,10,F,28,Geography teacher,Essex
Amelia,7,1,7.1,1.5,3,-2,4,13,0,3,7.Amelia,1,1,1,NA,-1,-1,0,NA,0,0,1,10,F,24,Fashion designer,Halifax
Dan,7,1,7.1,-0.9999999999999998,-1,0,9,13,0,1,7.Dan,-1,1,-1,NA,0,-1,1,-1,0,1,-1,10,M,32,Support worker,Rotherham
David,7,1,7.1,-1.5,2,3,10,13,1,10,7.David,1,0,1,NA,1,1,1,NA,0,0,5,10,M,36,International health adviser,Whitby
